REPORTE DE EVENTOS - CASA INTELIGENTE
Formato: [fecha y hora del RTC] TIPO | descripcion
[2026-09-21 23:05:13] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:05:20] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:05:23] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:05:26] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:05:30] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:05:32] CONTROL MANUAL | Botón Abrir puerta presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
[2026-09-21 23:06:33] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:06:34] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:06:38] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:06:42] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:06:44] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:06:48] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:06:50] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:06:52] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:06:54] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:06:59] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:07:05] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:07:10] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:07:15] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:07:19] CONTROL MANUAL | Botón Abrir ventana presionado (89 grados)
[2026-09-21 23:07:21] CONTROL MANUAL | Botón Abrir puerta presionado
[2026-09-21 23:07:24] CONTROL MANUAL | Botón Cerrar ventana presionado (5 grados)
[2026-09-21 23:07:26] CONTROL MANUAL | Botón Cerrar puerta presionado
[2026-09-21 23:07:30] CONTROL MANUAL | Botón Abrir puerta presionado
[RTC OFFLINE] SISTEMA | Error de comunicación: WriteFile failed (PermissionError(13, 'Access is denied.', None, 5))
